,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
bm25 1-gram,0.285,0.041,0.246,0.035,0.21,0.03,0.077,0.013,0.041,0.008,0.058,0.01,0.646,0.008,0.59,0.008,0.5,0.007,0.476,0.006,0.482,0.007,0.462,0.007
bm25 2-gram,0.299,0.04,0.252,0.034,0.212,0.03,0.078,0.013,0.043,0.008,0.06,0.01,0.732,0.008,0.674,0.007,0.566,0.007,0.551,0.006,0.561,0.007,0.547,0.007
bm25 3-gram,0.299,0.04,0.252,0.034,0.211,0.03,0.078,0.013,0.044,0.008,0.06,0.01,0.732,0.008,0.674,0.007,0.566,0.007,0.551,0.006,0.56,0.007,0.547,0.007
bm25 4-gram,0.299,0.04,0.252,0.034,0.212,0.031,0.078,0.013,0.044,0.008,0.06,0.01,0.731,0.008,0.672,0.007,0.565,0.007,0.55,0.006,0.559,0.007,0.546,0.007
