,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
qlm no smoothing 1-gram,0.283,0.04,0.239,0.034,0.202,0.03,0.058,0.01,0.038,0.007,0.046,0.009,0.621,0.009,0.558,0.008,0.463,0.007,0.432,0.007,0.422,0.007,0.419,0.007
qlm jm w= 1-gram,0.285,0.04,0.244,0.034,0.209,0.03,0.082,0.012,0.051,0.009,0.061,0.01,0.642,0.008,0.586,0.008,0.498,0.007,0.475,0.006,0.48,0.007,0.46,0.007
qlm dp w= 1-gram,0.289,0.04,0.25,0.034,0.211,0.03,0.082,0.013,0.053,0.009,0.061,0.01,0.645,0.008,0.589,0.008,0.499,0.007,0.475,0.006,0.48,0.007,0.46,0.007
qlm no smoothing 2-gram,0.29,0.04,0.237,0.035,0.191,0.031,0.052,0.01,0.038,0.007,0.042,0.008,0.695,0.008,0.623,0.008,0.508,0.008,0.481,0.007,0.475,0.008,0.478,0.008
qlm jm w= 2-gram,0.301,0.04,0.252,0.034,0.21,0.03,0.083,0.012,0.053,0.009,0.062,0.01,0.731,0.008,0.672,0.007,0.565,0.007,0.55,0.006,0.559,0.007,0.546,0.007
qlm dp w= 2-gram,0.306,0.041,0.259,0.035,0.213,0.031,0.083,0.012,0.054,0.009,0.062,0.01,0.73,0.008,0.672,0.007,0.565,0.007,0.548,0.006,0.557,0.007,0.543,0.007
