,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
Fasttext from scratch n=5,0.304,0.044,0.278,0.039,0.254,0.036,0.165,0.022,0.139,0.021,0.131,0.02,0.415,0.008,0.356,0.007,0.29,0.006,0.243,0.005,0.22,0.005,0.205,0.004
Fasttext from scratch n=10,0.298,0.043,0.28,0.039,0.252,0.035,0.165,0.022,0.139,0.021,0.131,0.02,0.422,0.008,0.361,0.007,0.294,0.006,0.247,0.005,0.224,0.005,0.209,0.005
Fasttext from scratch n=15,0.303,0.044,0.277,0.039,0.254,0.035,0.165,0.022,0.138,0.02,0.13,0.02,0.424,0.008,0.365,0.007,0.296,0.006,0.249,0.005,0.226,0.005,0.211,0.005
Fasttext from scratch n=20,0.302,0.044,0.278,0.039,0.25,0.035,0.164,0.022,0.138,0.02,0.129,0.019,0.426,0.008,0.365,0.007,0.298,0.006,0.251,0.005,0.227,0.005,0.213,0.005
Fasttext from scratch n=25,0.303,0.044,0.281,0.039,0.255,0.036,0.166,0.022,0.14,0.021,0.132,0.02,0.427,0.008,0.367,0.007,0.299,0.006,0.252,0.005,0.228,0.005,0.213,0.005
Fasttext from scratch n=30,0.306,0.044,0.278,0.039,0.251,0.035,0.164,0.022,0.137,0.02,0.129,0.019,0.428,0.008,0.367,0.007,0.3,0.006,0.252,0.005,0.23,0.005,0.214,0.005
Fasttext from scratch n=40,0.293,0.044,0.275,0.039,0.25,0.035,0.165,0.022,0.138,0.02,0.13,0.02,0.429,0.008,0.368,0.007,0.301,0.006,0.253,0.005,0.23,0.005,0.215,0.005
