,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
sent2vec epoch=2,0.229,0.041,0.22,0.038,0.204,0.035,0.126,0.02,0.104,0.019,0.098,0.018,0.158,0.006,0.139,0.005,0.12,0.004,0.096,0.003,0.074,0.003,0.07,0.002
sent2vec epoch=4,0.283,0.043,0.258,0.039,0.239,0.037,0.146,0.021,0.122,0.019,0.115,0.018,0.268,0.007,0.233,0.006,0.195,0.005,0.159,0.004,0.135,0.004,0.125,0.004
sent2vec epoch=6,0.292,0.044,0.271,0.041,0.25,0.038,0.151,0.021,0.127,0.019,0.12,0.019,0.326,0.008,0.282,0.007,0.233,0.006,0.192,0.004,0.17,0.004,0.157,0.004
sent2vec epoch=8,0.293,0.044,0.27,0.041,0.246,0.038,0.151,0.021,0.127,0.019,0.12,0.018,0.363,0.008,0.313,0.007,0.257,0.006,0.214,0.005,0.194,0.005,0.179,0.004
sent2vec epoch=10,0.29,0.044,0.266,0.041,0.244,0.038,0.15,0.021,0.125,0.019,0.118,0.018,0.385,0.009,0.331,0.007,0.271,0.006,0.226,0.005,0.209,0.005,0.192,0.005
sent2vec epoch=12,0.292,0.044,0.269,0.041,0.245,0.037,0.149,0.02,0.124,0.019,0.117,0.018,0.399,0.009,0.342,0.007,0.279,0.006,0.236,0.005,0.219,0.005,0.201,0.005
sent2vec epoch=14,0.291,0.045,0.263,0.04,0.244,0.037,0.148,0.02,0.122,0.019,0.116,0.018,0.407,0.009,0.349,0.008,0.285,0.006,0.241,0.005,0.225,0.005,0.207,0.005
sent2vec epoch=16,0.289,0.044,0.263,0.04,0.245,0.037,0.148,0.02,0.122,0.018,0.116,0.018,0.41,0.009,0.353,0.008,0.288,0.007,0.243,0.005,0.228,0.005,0.209,0.005
sent2vec epoch=18,0.284,0.044,0.264,0.04,0.243,0.037,0.147,0.02,0.121,0.018,0.115,0.018,0.412,0.009,0.354,0.008,0.289,0.007,0.244,0.005,0.23,0.005,0.211,0.005
sent2vec epoch=20,0.284,0.044,0.263,0.04,0.243,0.037,0.147,0.02,0.121,0.018,0.115,0.018,0.412,0.009,0.354,0.008,0.289,0.007,0.245,0.005,0.23,0.005,0.211,0.005
