,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
Fasttext from scratch average embedding,0.313,0.044,0.283,0.039,0.259,0.035,0.174,0.022,0.145,0.021,0.138,0.02,0.481,0.009,0.422,0.008,0.345,0.007,0.299,0.005,0.283,0.006,0.263,0.005
Fasttext from scratch idf embedding,0.303,0.043,0.28,0.039,0.26,0.034,0.168,0.021,0.141,0.019,0.133,0.019,0.523,0.009,0.464,0.008,0.386,0.007,0.342,0.006,0.332,0.006,0.308,0.006
Fasttext from scratch sif embedding,0.288,0.043,0.273,0.039,0.254,0.035,0.168,0.021,0.141,0.02,0.131,0.019,0.511,0.009,0.453,0.008,0.375,0.007,0.332,0.005,0.321,0.006,0.297,0.006
