,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
sent2vec torontobooks unigram,0.19,0.035,0.174,0.032,0.162,0.028,0.089,0.013,0.063,0.01,0.064,0.01,0.223,0.008,0.189,0.006,0.154,0.005,0.125,0.004,0.105,0.004,0.1,0.004
sent2vec torontobooks bigram,0.191,0.035,0.175,0.031,0.161,0.028,0.09,0.013,0.063,0.01,0.064,0.01,0.234,0.008,0.197,0.006,0.159,0.005,0.129,0.004,0.109,0.004,0.105,0.004
sent2vec wikipedia unigram,0.351,0.043,0.322,0.038,0.29,0.034,0.195,0.02,0.159,0.019,0.153,0.019,0.397,0.008,0.341,0.007,0.277,0.006,0.23,0.004,0.206,0.005,0.193,0.004
sent2vec wikipedia bigram,0.371,0.042,0.352,0.039,0.318,0.036,0.215,0.021,0.18,0.021,0.171,0.02,0.366,0.008,0.315,0.007,0.257,0.006,0.214,0.004,0.19,0.005,0.178,0.004
