,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
sent2vec epoch=1,0.142,0.032,0.14,0.029,0.138,0.029,0.092,0.018000000000000002,0.078,0.017,0.069,0.016,0.068,0.004,0.063,0.003,0.057,0.003,0.045,0.002,0.033,0.002,0.03,0.002
sent2vec epoch=2,0.22,0.041,0.211,0.038,0.198,0.035,0.127,0.02,0.107,0.019,0.099,0.018000000000000002,0.149,0.006,0.133,0.005,0.116,0.004,0.093,0.003,0.07200000000000001,0.003,0.067,0.002
sent2vec epoch=3,0.257,0.042,0.245,0.039,0.227,0.037000000000000005,0.142,0.021,0.118,0.019,0.111,0.019,0.215,0.006999999999999999,0.188,0.006,0.161,0.005,0.129,0.003,0.106,0.003,0.099,0.003
sent2vec epoch=4,0.28300000000000003,0.044,0.267,0.041,0.238,0.037000000000000005,0.14800000000000002,0.021,0.124,0.02,0.116,0.019,0.264,0.006999999999999999,0.23,0.006,0.193,0.005,0.158,0.004,0.134,0.004,0.124,0.004
sent2vec epoch=5,0.284,0.044,0.266,0.041,0.241,0.037000000000000005,0.15,0.021,0.126,0.02,0.117,0.019,0.303,0.008,0.261,0.006999999999999999,0.219,0.006,0.18,0.004,0.157,0.004,0.145,0.004
sent2vec epoch=6,0.28800000000000003,0.044,0.264,0.041,0.243,0.038,0.15,0.021,0.126,0.019,0.117,0.019,0.333,0.008,0.285,0.006999999999999999,0.236,0.006,0.196,0.004,0.174,0.004,0.161,0.004
sent2vec epoch=7,0.297,0.045,0.265,0.041,0.244,0.037000000000000005,0.151,0.021,0.127,0.019,0.118,0.018000000000000002,0.355,0.008,0.306,0.006999999999999999,0.251,0.006,0.21,0.004,0.189,0.005,0.175,0.004
sent2vec epoch=8,0.293,0.045,0.263,0.041,0.245,0.037000000000000005,0.151,0.021,0.126,0.019,0.118,0.018000000000000002,0.373,0.008,0.321,0.006999999999999999,0.264,0.006,0.221,0.005,0.202,0.005,0.18600000000000005,0.004
