,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
tf-idf sublinear 2-gram,0.299,0.04,0.265,0.036,0.213,0.031,0.076,0.012,0.043,0.008,0.06,0.01,0.74,0.008,0.674,0.007,0.56,0.007,0.534,0.006,0.541,0.007,0.527,0.007
tf-idf sublinear 3-gram,0.299,0.04,0.26,0.035,0.212,0.031,0.076,0.012,0.043,0.008,0.06,0.01,0.742,0.008,0.673,0.007,0.559,0.007,0.534,0.006,0.54,0.007,0.527,0.007
tf-idf sublinear 4-gram,0.298,0.04,0.258,0.035,0.211,0.031,0.076,0.012,0.042,0.008,0.059,0.01,0.741,0.008,0.671,0.007,0.556,0.007,0.53,0.006,0.537,0.007,0.523,0.007
