,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
Fasttext from scratch w=5,0.271,0.043,0.246,0.038,0.221,0.034,0.131,0.019,0.106,0.017,0.1,0.017,0.317,0.008,0.27,0.007,0.22,0.006,0.177,0.004,0.147,0.004,0.142,0.004
Fasttext from scratch w=5,0.309,0.044,0.278,0.039,0.256,0.035,0.166,0.022,0.139,0.02,0.131,0.02,0.42,0.008,0.362,0.007,0.295,0.006,0.248,0.005,0.224,0.005,0.21,0.005
Fasttext pretrained wiki,0.295,0.041,0.273,0.036,0.251,0.032,0.161,0.018,0.131,0.016,0.12,0.015,0.278,0.007,0.232,0.006,0.186,0.005,0.151,0.003,0.12,0.003,0.118,0.003
Fasttext finetuned wiki,0.312,0.043,0.286,0.038,0.266,0.035,0.18,0.022,0.153,0.021,0.143,0.02,0.383,0.008,0.326,0.007,0.264,0.006,0.22,0.004,0.195,0.004,0.182,0.004
