,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,general keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation,specific keywords validation
,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref,p@5,p@5,p@10,p@10,p@20,p@20,R-prec,R-prec,mAP,mAP,bpref,bpref
,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err,avg,err
sent2vec epoch=2,0.262,0.042,0.242,0.039,0.222,0.036000000000000004,0.138,0.02,0.114,0.019,0.107,0.018000000000000002,0.20600000000000002,0.006999999999999999,0.18100000000000002,0.006,0.154,0.005,0.12300000000000001,0.003,0.10099999999999999,0.003,0.094,0.003
sent2vec epoch=4,0.28800000000000003,0.044000000000000004,0.265,0.04,0.243,0.037000000000000005,0.151,0.021,0.124,0.019,0.11699999999999999,0.018000000000000002,0.32899999999999996,0.008,0.28300000000000003,0.006999999999999999,0.235,0.006,0.195,0.004,0.172,0.004,0.159,0.004
sent2vec epoch=6,0.282,0.043,0.262,0.04,0.244,0.037000000000000005,0.149,0.02,0.12300000000000001,0.019,0.11699999999999999,0.018000000000000002,0.396,0.008,0.34,0.006999999999999999,0.278,0.006,0.23399999999999999,0.005,0.215,0.005,0.198,0.005
sent2vec epoch=8,0.284,0.043,0.266,0.04,0.24100000000000002,0.037000000000000005,0.146,0.02,0.11800000000000001,0.018000000000000002,0.113,0.017,0.436,0.009000000000000001,0.374,0.008,0.305,0.006999999999999999,0.259,0.005,0.244,0.005,0.22399999999999998,0.005
sent2vec epoch=10,0.27899999999999997,0.044000000000000004,0.264,0.04,0.239,0.036000000000000004,0.142,0.019,0.114,0.017,0.11,0.017,0.46299999999999997,0.009000000000000001,0.396,0.008,0.32299999999999995,0.006999999999999999,0.27699999999999997,0.005,0.265,0.006,0.243,0.005
sent2vec epoch=12,0.278,0.043,0.255,0.039,0.237,0.036000000000000004,0.13699999999999998,0.019,0.109,0.016,0.106,0.016,0.48100000000000004,0.009000000000000001,0.413,0.008,0.337,0.006999999999999999,0.289,0.005,0.28,0.006,0.257,0.005
sent2vec epoch=14,0.28,0.044000000000000004,0.254,0.039,0.235,0.036000000000000004,0.136,0.018000000000000002,0.106,0.016,0.10400000000000001,0.016,0.49200000000000005,0.009000000000000001,0.424,0.008,0.34600000000000003,0.006999999999999999,0.299,0.005,0.29,0.006,0.267,0.006
sent2vec epoch=16,0.28,0.043,0.253,0.039,0.23199999999999998,0.036000000000000004,0.133,0.018000000000000002,0.10300000000000001,0.016,0.10099999999999999,0.016,0.501,0.009000000000000001,0.43200000000000005,0.008,0.353,0.006999999999999999,0.306,0.005,0.298,0.006,0.27399999999999997,0.006
